"Titre";"Catégorie de talents";"Aptitude";"Aptitude raciale";"Talent";"Pouvoir";"Autre prérequis";"Compétences";"Classe";"Race";"Avantage";"Stats";"Source";"Errata"
"Frondeur d'exception";"Héroïque";;;;;;;"Voleur";;"Les frondes vous confèrent un bonus de maniement de +3 et ont pour vous la propriété d'arme critique amélioré.";;"Art de la Guerre 2";"Aucun"
"Fureur de la manticore";"Héroïque";;;;;;;"Rôdeur";;"Lorsque vous touchez un ennemi avec une attaque de corps à corps, vous bénéficiez d’un bonus de +2 au jet de dégâts de la prochaine attaque à distance que vous lui portez avant la fin de votre tour de jeu suivant. Lorsque vous touchez un ennemi avec une attaque à distance, vous bénéficiez d’un bonus de +2 au jet de dégâts de la prochaine attaque de coprs à corps que vous lui portez avant la fin de votre tour de jeu suivant. Ce bonus passe à +4 au niveau 11 et +6 au niveau 21.";;"Art de la Guerre 2";"Aucun"
"Fureur des arcanes";"Héroïque";;;;;;;"Ensorceleur, Façonneur, Mage d’armes, Magicien, Sorcier";"Demi-orque";"Lorsque vous utilisez votre pouvoir racial assaut enragé,pour infliger des dégâts supplémentaires à la cible d'un pouvoir arcanique de proximité ou de zone, vous infligez des dégâts supplémentaires à toutes les cibles que vous touchez avec ce pouvoir, pas seulement une cible.";;"Secret des Arcanes";"Aucun"
"Fureur du sang indompté";"Héroïque";"Sang indompté";;;;;;"Gardien";;"Lorsque vous utilisez votre second souffle, vous bénéficiez, jusqu'à la fin de votre tour de jeu suivant et contre chaque ennemi marqué par vous, d'un bonus aux jets de dégâts égal à votre modificateur de Sagesse.";;"Force de la Nature";"Aucun"
"Fureur longue-dent";"Héroïque";;;;;;;"Guerrier";"Féral longue-dent";"Tant que vous êtes sous les effets de votre pouvoir racial sauvagerie longue-dent, vous bénéficiez d'un bonus de +4 aux jets de dégâts contre les créatures que vous avez marquées (au lieu de +2 habituellement).";;"Art de la Guerre 2";"Aucun"
"Fureur marquée";"Héroïque";;;;;;;"Guerrier";;"Si un ennemi adjacent que vous avez marqué effectue une attaque qui ne vous prend pas pour cible, il subit au jet d’attaque un malus de -2 ou égal au nombre d’ennemis qui vous sont adjacent (garder la valeur la plus désavantageuse pour l’ennemi). Ce malus remplace remplace celui que subit normalement une créature marquée.";;"Art de la Guerre 2";"Aucun"
"Fureur noir";"Héroïque";;;;;;;;;"Vous bénéficiez d’un bonus de talent de +1 aux jets de dégâts lorsque vous utilisez un pouvoir accompagné du mot-clé nécrotique ou psychique.Au niveau 11, ce bonus passe à +2, au niveau 21, il passe à +3.";"Con 13, Sag 13";"Manuel des Joueurs 1";"Aucun"
"Fureur primale";"Héroïque";"Prédateur primal";;;;;;"Druide";;"Vous bénéficiez d'un +1 aux jets d'attaques avec des pouvoirs primaux contre des ennemis en péril.";;"Manuel des Joueurs 2";"Aucun"
"Furie des sorts concentrée";"Héroïque";;;;;;;"Ensorceleur";;"Lorsque vous utilisez un pouvoir d’attaque à volonté d’ensorceleur et touchez deux ennemis au moins, vous bénéficiez d’un bonus de +2 aux dégâts pour vos pouvoirs d’attaque à distance et d’attaque au corps-à-corps jusqu’à la fin de votre tour de jeu suivant.";;"Secret des Arcanes";"Aucun"
"Furtivité supérieure";"Héroïque";"Furtivité";;;;;;"Voleur";;"Lorsque vous effectuez un test de Discrétion pour vous cacher en utilisant votre aptitude de classe de furtivité, vous devez terminer une action de mouvement à au moins 2 cases de l'endroit pou vous l'avez commencé (au lieu de 3 habituellement).";;"Art de la Guerre 2";"Aucun"
"Gageure de l'arme d'hast";"Parangonique";;;;;;;;;"Lorsqu'un ennemi non adjacent entre dans une case qui vous est adjacente, vous pouvez lui porter une attaque d'opportunité avec une arme d'hast, mais vous lui octroyez alors un avantage de combat jusqu'à la fin de son tour de jeu.";"For 15, Sag 15";"Manuel des Joueurs 1";"Aucun"
"Garde du bagarreur";"Héroïque";"Style du bagarreur";;;;;;"Guerrier";;"Vous bénéficiez d’un bonus de bouclier de +1 à la CA et aux Réflexes quand vous portez une arme dans une main et que l’autre est libre ou que vous étreignez une créature.";;"Art de la Guerre 2";"01/2013"
"Garder l'avantage";"Héroïque";;;;;;;"Voleur";;"Si vous réussissez un coup critique alors que vous avez un avantage de combat, vous jouissez de ce dernier sur votre cible jusqu’à la fin de votre tour de jeu suivant.";"Cha 15";"Manuel des Joueurs 1";"Aucun"
"Gardien de l'orage";"Héroïque";"Défi en combat";;;;;;"Guerrier";"Genasi";"Si vous manifestez l'âme d'orage alors que vous effectuez une attaque de base de corps à corps conféré par défi en combat, vous pouvez choisir que l'attaque inflige des dégâts d'électricité ou de tonnerre, au lieu du type de dégâts habituel.";;"Art de la Guerre 1";"Aucun"
"Gardien des bêtes";"Héroïque";"Maîtrise des bêtes";;;;;;"Rôdeur";;"Lorsqu'un ennemi adjacent effectue une attaque de corps à corps contre votre compagnon bestial, il provoque une attaque d'opportunité de votre part. Si vous êtes adjacent à votre compagnon bestial, vous pouvez effectuer cette attaque même si l'attaquant ne se situe pas à portée d'allonge (on imagine par exemple que vous attaquez la partie de son corps qui porte jusqu'à votre compagnon).";;"Art de la Guerre 1";"01/2013"
"Gardien vigilant";"Héroïque";"Gardien primal, Métamorphose animale";;;;;;"Druide";;"Quand vous êtes sous forme animale, vous et chaque allié adjacent bénéficiez d'un bonus de talent de +2 aux jets d'attaque lorsque vous effectuez des attaques d'opportunité.";;"Force de la Nature";"Aucun"
"Glisse bestiale";"Parangonique";"Maîtrise des bêtes ";;;;"(félin ou rapace)";;"Rôdeur";;"Quand votre compagnon bestial touche avec une attaque de base de corps à corps, il peut ensuite se décaler de 1 case au prix d'une action libre.";;"Art de la Guerre 2";"Aucun"
"Gnome rusé";"Parangonique";"Attaque sournoise";;;;;;"Voleur";"Gnome";"Une fois par rencontre, lorsque vous attaquez et infligez des dégâts d'attaque sournoise à une créature alors que vous êtes invisible, l'attaque n'annule pas l'invisibilité.";;"Art de la Guerre 2";"Aucun"
"Grâce de Corellon";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquer le pouvoir de votre dieu pour utiliser Grâce de Corellon";;"Manuel des Joueurs 1";"Aucun"
"Grâce de l'elfe du soleil";"Héroïque";;;;;;;;"Éladrin";"Si vous utilisez votre pouvoir d'éclipse féerique avant d'être en péril pour la première fois d'une rencontre, vous bénéficiez d'un bonus de +1 à toutes les défenses jusqu'à la fin de votre tour de jeu suivant. Dès lors que vous êtes en péril au cours de la rencontre, vous ne pouvez plus bénéficiez de cet avantage même si vous êtes soigné durant le combat.Spécial : vous ne pouvez pas prendre ce talent si vous avez déjà le talent Ressort de l'elfe de la lune.";;"Royaume Oubliés";"Aucun"
"Grâce défensive";"Héroïque";;;;"Compassion du guérisseur";;;"Prêtre";;"Lorsque vous utilisez compassion du guérisseur, vous bénéficiez d’un bonus de pouvoir égal à votre modificateur de Charisme à toutes les défenses jusqu’à la fin de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Grand chef de troupe";"Héroïque";"Chef de troupe";;;;;;"Maître de Guerre";;"Le bonus à l'initiative conféré par chef de troupe passe à +3.";;"Art de la Guerre 2";"Aucun"
"Grand grimoire";"Héroïque";;;;;;;"Magicien";;"Choisissez un sort d’attaque de magicien quotidien de chaque niveau connu et ajoutez les à votre grimoire.Chaque fois que vous gagnez un nouveau niveau de sorts d’attaque de magicien quotidiens, vous apprenez un sort supplémentaire de ce niveau (autrement dit, vous ajoutez 3 sorts à votre grimoire au lieu de 2).Ce sort ne change pas le nombre de sorts d’attaque quotidiens que vous pouvez préparer chaque jour.";"Sag 13";"Manuel des Joueurs 1";"Aucun"
"Grand souffle";"Héroïque";;;;"Souffle de dragon";;;;"Drakéide";"Lorsque vous utilisez votre pouvoir souffle de dragon, vous pouvez en faire une décharge 5 au lieu d’une simple décharge 3.";;"Manuel des Joueurs 1";"Aucun"
"Griffe de ténèbres";"Héroïque";;;;;;;;"Drow";"Votre chape d'obscurité prend la forme d'une explosion de proximité 2 (et non 1). De plus, votre pouvoir de noirfeu affiche une distance de 15 (et non 10).";;"Royaume Oubliés";"Aucun"
"Grimpeur confiant";"Héroïque";;;;;;"Formation Athlétisme";;;"Un test d’Athlétisme réussi vous permet d’escalader à la hauteur de votre vitesse de déplacement, plutôt qu’à la moitié.Vous bénéficiez également d’un bonus de talent de +1 aux tests d’Athlétisme.";;"Manuel des Joueurs 1";"Aucun"
"Guérison spirituelle partagée";"Héroïque";"Guérison spirituelle";;;;;;"Shaman";;"Quand vous utilisez guérison spirituelle, vous pouvez choisir que ce soit un allié situé dans un rayon de 2 cases de la cible qui récupère les points de vie supplémentaire plutôt qu’un allié adjacent à votre compagnon spirituel.";;"Manuel des Joueurs 2";"Aucun"
"Guérisseur pacifiste";"Héroïque";;;;;;;"Prêtre";;"Lorsque vous utilisez un mot de guérison ou un pouvoir divin qui permet à une cible de dépenser une récupération, la cible regagne 1d6 + votre modificateur de Charisme points de vie supplémentaires. Les points de vie supplémentaires passent à 2d6 + votre modificateur de Charisme au niveau 11, et à 3d6 + votre modificateur de Charisme au niveau 21.Également, chaque fois que vous touchez ou ratez un ennemi en péril et que vous lui infligez des dégâts, vous êtes étourdi jusqu’à la fin de votre tour de jeu suivant.";;"Intervention Divine";"01/2013"
"Guide ancestral";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin guide ancestral";;"Eberron";"Aucun"
"Habileté halfeline";"Héroïque";;"Deuxième chance";;;;;;"Halfelin";"Lorsque vous utilisez votre pouvoir racial deuxième chance, l’attaquant subit un malus de -2 au nouveau jet d’attaque.";;"Manuel des Joueurs 1";"Aucun"
"Hache implacable";"Parangonique";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Chaque fois que vous réussissez un coup critique en utilisant une hache, les 1 et 2 obtenus aux dés de dégâts de coup critique et aux dés supplémentaires de la propriété critique amélioré sont considérés comme des 3.";;"Art de la Guerre 2";"Aucun"
"Haches mortelles";"Parangonique";;;;;;;;;"Vous considérer toutes les haches comme des armes à critique amélioré.";"For 17, Con 13";"Manuel des Joueurs 1";"Aucun"
"Harcèlement du rapace";"Héroïque";"Maîtrise des bêtes";;;;;;"Rôdeur";;"(Rapace) Votre compagnon bestial bénéficie d'un bonus de +2 aux jets de sauvegarde. Quand votre compagnon bestial agit indépendamment, il n'est pas obligé de vous être adjacent, mais il doit rester dans un rayon de 10 cases. En outre, s'il touche une créature avec une attaque de base de corps à corps, la créature confère un avantage de combat jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Harmonie d'Erathis";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquer le pouvoir de votre dieu pour utiliser Harmonie d’Erathis.";;"Manuel des Joueurs 1";"Aucun"
"Harmonie de Dakshai";"Héroïque";;"Mental d'acier";;;;;;"Githzerai";"Quand vous êtes victime d'un effet qu'une sauvegarde est en mesure d'annuler, vous pouvez dépenser votre pouvoir mental d'acier au prix d'une interruption immédiate pour effectuer un jet de sauvegarde accompagné d'un bonus de +5 contre cet effet (vous ne bénéficiez alors pas de l'effet normal de mental d'acier).";;"Manuel des Joueurs 3";"Aucun"
"Herboriste";"Héroïque";;;;;;"Formation Exploration ou Nature";;;"Vous bénéficiez d'un bonus de +5 aux test de Soins pour traiter les maladies. De plus, lorsque vous atteignez le niveau 5, vous maîtrisez le rituel Préparation de potions, et pouvez l'effectuer sans bréviaire.";;"Force de la Nature";"Aucun"
"Héritage sagespectre";"Héroïque";;;;;;;;"Halfelin";"Après avoir médité pendant 1 minute, choisissez un allié que vous voyer. Lorsque vous devez tous deux effectuez un test de perception et qu'il se situe dans un rayon de 10 de vous, chacun de vous peut utilisez le résultat du jet le plus élevé.En méditant à nouveau, vous pouvez changer l'allié auquel vous êtes lié.";;"Royaume Oubliés";"Aucun"
"Hibou vigilant (tribal)";"Héroïque";;;;;;;;;"Vous bénéficiez d'un bonus de talent de +2 aux test de Perception. Ce bonus augment de 1 pour chaque allié situé dans un rayon de 10 cases qui possède ce talent et jusqu'à un maximum de +5,";;"Force de la Nature";"Aucun"
"Horde impressionnante (tribal)";"Héroïque";;;;;;;;;"Vous bénéficiez d'un bonus de talent de +2 aux test d'Intimidation. Ce bonus augment de 1 pour chaque allié situé dans un rayon de 10 cases qui possède ce talent et jusqu'à un maximum de +5,";;"Force de la Nature";"Aucun"
"Imposteur féerique";"Héroïque";;;;;;;;"Gnome";"Vous obtenez les tours de magie manipulations à distance et prestidigitation (cf Manuel des Joueurs, p.75) en tant que pouvoir de rencontre.";;"Manuel des Joueurs 2";"Aucun"
"Impulsion de charge";"Héroïque";;;;;;;;"Minotaure";"Quand vous réussissez un coup critique avec une attaque de charge, vous pouvez charger une créature différente au prix d'une action libre une fois par round.";;"Manuel des Joueurs 3";"Aucun"
"Incantateur agile";"Héroïque";;;;;;;"Ensorceleur, Façonneur, Mage d’armes, Magicien, Sorcier";;"Lorsque vous utilisez un pouvoir arcanique de zone, vous ne provoquez pas d'attaques d'opportunité de la part des créatures que vous prenez pour cibles avec ce pouvoir.";"Dex 13";"Secret des Arcanes";"Aucun"
"Incantateur draconique";"Héroïque";;;;;;;"Ensorceleur, Façonneur, Mage d’armes, Magicien, Sorcier";"Drakéide";"Vous bénéficiez d'un bonus de talent de +1 à vos jets d'attaque et de dégâts lorsque vous utilisez un pouvoir arcanique qui inflige le même type de dégâts que votre souffle. Ce bonus passe à +2 au niveau 15 et à +3 au niveau 25.";;"Secret des Arcanes";"01/2013"
"Incantation à deux focaliseurs";"Héroïque";;;;;;;"Ensorceleur, Façonneur, Mage d’armes, Magicien, Sorcier";;"Lorsque vous utilisez un pouvoir d’attaque arcanique et que vous tenez un focaliseur magique dans chaque main, vous pouvez ajouter le bonus d’altération de votre focaliseur secondaire à vos jets de dégâts.Vos deux focaliseurs doivent pouvoir être utilisés avec ce pouvoir et vous devez être capable de tenir les deux focaliseurs pour pouvoir bénéficier de cet avantage.";"Dex 13";"Secret des Arcanes";"Aucun"
"Incantation de combat";"Héroïque";;;;;;;"Mage d’armes";;"Lorsque vous utilisez un pouvoir d'attaque de corps à corps de mage d'armes et touchez un ennemi, vos pouvoirs d'attaque à distance et de zone de mage d'armes ne provoquent pas d'attaques d'opportunité jusqu'à la fin de votre tour de jeu suivant.";;"Secret des Arcanes";"Aucun"
"Incantation du marteau des montagnes";"Héroïque";;;;;;;"Ensorceleur, Façonneur, Mage d’armes, Magicien, Sorcier";"Goliath";"Lorsque vous utilisez votre pouvoir racial endurance de la pierre, vos pouvoirs arcaniques ignorent les résistances de vos ennemis jusqu'à la fin de votre tour de jeu suivant.";;"Secret des Arcanes";"Aucun"
"Inébranlable résolution de Zerthadlun";"Héroïque";;;;;;;;"Githzerai";"Tant qu'il vous reste au moins 1 point de pouvoir, vous bénéficiez d'un bonus de talent de +2 aux jets de sauvegarde.";;"Manuel des Joueurs 3";"Aucun"
"Infusion de puissance élémentaire";"Héroïque";;;;;;;"Magicien";"Genasi";"Lorsque vous utilisez un pouvoir de magicien qui a le mot-clé acide, électricité, feu, froid ou tonnerre, vous ajoutez votre modificateur de Force aux jets de dégâts.";;"Secret des Arcanes";"Aucun"
"Ingéniosité supérieure";"Héroïque";"Présence ingénieuse";;;;;;"Maître de Guerre";;"Ajoutez 2 au bonus aux dégâts et aux points de vie temporaires conférés par votre présence ingénieuse.";;"Art de la Guerre 1";"Aucun"
"Inimitié astrale";"Héroïque";;;;"Serment d'inimitié";;;"Vengeur";"Déva";"Si vous utilisez votre pouvoir racial mémoire d'un millier de vies pour augmenter le résultat d'un jet d'attaque contre la cible de votre serment d'inimitié, vous infligez des dégâts supplémentaires égaux au bonus obtenu grâce au pouvoir racial";;"Intervention Divine";"Aucun"
"Initiative Supérieure";"Héroïque";;;;;;;;;"Vous bénéficiez d’un bonus de talent de +4 aux tests d’initiative.";;"Manuel des Joueurs 1";"Aucun"
"Injonction d'Outre-Mort";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin injonction d'outre-mort.";;"Eberron";"Aucun"
"Inquiétante malédiction";"Héroïque";"Alliance de malédiction";;;;;;"Invocateur";;"A chaque fois que vous utilisez un pouvoir d'attaque divin de rencontre ou quotidien à votre tour, chaque cible touchée par le pouvoir subit un malus de -2 aux jets d'attaque contre vous jusqu'au début de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Inspiration avisée";"Héroïque";;;;;;;"Maître de Guerre";"Éladrin";"Ajoutez votre modificateur d'Intelligence aux points de vie que fait récupérer votre parole inspiratrice.";;"Art de la Guerre 1";"Aucun"
"Inspiration défensive";"Héroïque";;;;;;;"Maître de Guerre";"Humain";"Lorsque vous utilisez parole inspiratrice, la cible bénéficie également d'un bonus de pouvoir de +1 à toutes les défenses jusqu'au début de votre tour de jeu suivant.";;"Art de la Guerre 1";"Aucun"
"Inspiration galvanisante";"Héroïque";;;;;;;"Maître de Guerre";"Nain";"Lorsque vous utilisez parole inspiratrice sur un allié adjacent, ce dernier regagne des points de vie supplémentaires égaux à votre modificateur de Sagesse ou peut effectuer un jet de sauvegarde.";;"Art de la Guerre 1";"Aucun"
"Inspiration orientée";"Héroïque";"Parole inspiratrice";;;;;;"Maître de Guerre";;"Lorsque vous utilisez parole inspiratrice, la cible bénéficie d'un bonus de +1 aux jets d'attaque des attaques à distances ou d'un bonus de +1 à toutes les défenses contre les attaques à distances de zone. Le bonus persiste jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Inspiration salvatrice";"Héroïque";;;;;;;"Maître de Guerre";;"Lorsque vous utilisez parole inspiratrice, vous pouvez renoncer aux dés supplémentaires de guérison conférés pas le pouvoir pour octroyer un jet de sauvegarde à la cible.";;"Art de la Guerre 1";"Aucun"
"Inspiration soufflée";"Héroïque";;;;;;;"Maître de Guerre";"Drakéide";"Lorsque vous touchez un ennemi en utilisant votre pouvoir racial souffle de dragon, vos alliés bénéficient d'un bonus de +5 aux jets de dégâts contre cet ennemi jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Inspiration supérieure";"Héroïque";"Présence inspiratrice";;;;;;"Maître de Guerre";;"Votre présence inspiratrice fait gagner 2 points de vie supplémentaires.";;"Art de la Guerre 1";"Aucun"
"Inspiration tactique";"Héroïque";"Présence inspiratrice";;;;;;"Maître de Guerre";"Demi-elfe";"Lorsqu'un allié qui vous voit dépense un point d'action pour attaquer, il bénéficie d'un bonus de +1 au jet d'attaque.";;"Art de la Guerre 1";"Aucun"
"Instruction d'Auréon";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin instruction d'Auréon.";;"Eberron";"Aucun"
"Instruction des bêtes";"Héroïque";"Maîtrise des bêtes";;;;;;"Rôdeur";;"Votre compagnon bestial bénéficie d'un bonus de talents de +2 à toutes les compétences dans lesquelles vous êtes formés.";;"Art de la Guerre 1";"Aucun"
"Intrépidité supérieure";"Héroïque";"Présence intrépide";;;;;;"Maître de Guerre";;"Lorsqu'un allié utilise votre présence intrépide, il bénéficie d'un +1 au jet d'attaque ou d'un +2 à la VD pour l'action de mouvement (au chois de l'allié).";;"Art de la Guerre 1";"Aucun"
"Intuition de groupe";"Héroïque";;;;;;;;"Demi-elfe";"Vous conférez aux alliés situé dans un rayon de 10 cases un bonus racial de +1 aux tests d’intuition et tests d’initiative.";;"Manuel des Joueurs 1";"Aucun"
"Intuition offensive";"Héroïque";;;;;;;;;"Quand vous ratez un ennemi avec une attaque de corps à corps, vous bénéficiez d'un bonus de +2 aux jets d'attaque d'opportunités contre celui ci jusqu'au début de votre tour de jeu suivant.";;"Manuel des Joueurs 3";"Aucun"
"Invasion de l'avalanche";"Parangonique";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";"Goliath";"Lorsque vous touchez avec une attaque de charge, vous pouvez pousser la cible de la charge de 1 case, auquel cas vous pouvez vous décaler de 1 case dans une case libérée par la cible.";;"Art de la Guerre 2";"Aucun"
"Invocation de résistance";"Héroïque";;;;;;;"Invocateur";"Humain";"Lorsque vous utilisez un pouvoir d'attaque divin de rencontre ou quotidien au cours de votre tour, un allié dans un rayon de 10 cases bénéficie d'un bonus de pouvoir de +1 à son prochain jet de sauvegarde jusqu'à la fin votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Invocation du travail d'équipe";"Héroïque";;;;;;;"Invocateur";"Demi-elfe";"Lorsque vous utilisez un pouvoir d'attaque divin de rencontre ou quotidien au cours de votre tour, un allié dans un rayon de 10 cases bénéficie d'un bonus de pouvoir de +1 à toutes les défenses jusqu'à la fin votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Ire du vaincu";"Parangonique";"Marteau de l'ire";;;;;;"Prêtre des runes";;"Quand vous êtes réduit à 0 pont de vie ou moins, vous pouvez entreprendre une interruption immédiate pour effectuer une attaque de base de corps à corps accompagnée d'un bonus de +2 au jet d'attaque.";;"Manuel des Joueurs 3";"Aucun"
"Isolation fortifiée";"Parangonique";"Censure rétributive";;;"Serment d'inimitié";;;"Vengeur";;"Vous bénéficiez d'un bonus de +1 à la CA tant que vous êtes adjacent à la cible de votre serment d'inimitié.";;"Manuel des Joueurs 2";"Aucun"
"Jaguar rapide (tribal)";"Héroïque";;;;;;;;;"Vous bénéficiez d'un bonus de talent de +2 aux test d'initiative. Ce bonus augment de 1 pour chaque allié situé dans un rayon de 10 cases qui possède ce talent et jusqu'à un maximum de +5,";;"Force de la Nature";"Aucun"
"Jet de précision";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Chaque fois que vous effectuez une attaque de base à distance en utilisant une arme de jet au maniement de laquelle vous êtes formé, vous pouvez utilisez la Dextérité à la place de la Force pour le jet d’attaque et le jet de dégâts.";;"Art de la Guerre 2";"Aucun"
"Jet défensif";"Héroïque";"Style de combat du maraudeur";;;;;;"Rôdeur";;"Chaque fois que vous effectuez une attaque de corps à corps, vos attaques à distance avec des armes de jet ne provoquent pas d’attaques d’opportunités jusqu’au début de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Jugement de Kelemvor";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliser jugement de Kelemvor.";;"Royaume Oubliés";"Aucun"
"Juste colère de Tempus";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliserjust colère de Tempus.";;"Royaume Oubliés";"A faire sur le pouvoir du talent"
"Justice de Torm";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliser justice de Torm.";;"Royaume Oubliés";"Aucun"
"Justice souveraine";"Héroïque";;;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;;;"Eberron";"Aucun"
"Laisse d'acier";"Héroïque";;;;;;;"Guerrier";;"Lorsque vous utilisez un fléau pour mettre un ennemi à terre , vous pouvez également le faire glisser de 1 case.";"Dex 15";"Art de la Guerre 1";"Aucun"
"Lame du moissonneur";"Héroïque";;;;;;;"Guerrier";;"Si vous faites tomber un ennemi à 0 point de vie avec une attaque utilisant une lame lourde, vous pouvez jusqu'à la fin de votre tour de jeu en cours vous décalez au prix d'une action mineure.";"Dex 15";"Art de la Guerre 1";"Aucun"
"Lame habile";"Parangonique";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Lorsque vous effectuez une attaque de base en utilisant une lame légère, vous pouvez viser la CA ou les Réflexes.";;"Art de la Guerre 2";"Aucun"
"Lame opportuniste";"Héroïque";;;;;;;;;"Vous bénéficiez d’un bonus de +2 aux jets d’attaque d’opportunité avec une lame lourde ou une lame légère.";"For 13, Dex 13";"Manuel des Joueurs 1";"Aucun"
"Lame vicieuse";"Parangonique";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Chaque fois que vous utilisez une lame lourde pour effectuer une attaque de base de corps à corps, considérez que l'arme dispose de la propriété critique amélioré.";;"Art de la Guerre 2";"Aucun"
"Lames féeriques";"Héroïque";"Technique de la tempête";;;;;;"Guerrier";"Éladrin";"Lorsque vous attaquez avec deux lames légères, deux lames lourdes ou une lame légère et une lame lourde, vous bénéficiez d'un +1 aux jets de dégâts.";;"Art de la Guerre 1";"Aucun"
"Lance d'empalement";"Parangonique";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Chaque fois que vous utilisez une lance pour effectuer une attaque de base de corps à corps, vous pouvez viser la CA ou les Réflexes.";;"Art de la Guerre 2";"Aucun"
"Lance sanglante (tribal)";"Héroïque";;;;;;;;;"Vous bénéficiez d'un bonus de talent de +1 aux jets d'attaque et de dégâts lorsque vous effectuez des attaques d'opportunités. Ce bonus augmente de 1 pour chaque allié situé dans un rayon de 10 cases qui possède ce talent et jusqu'à un maximum de +5,";;"Force de la Nature";"Aucun"
"Lancer lointain";"Héroïque";;;;;;;;;"Lorsque vous utilisez une arme de jet comme une dague ou une javeline, augmentez les portées normales et longues de deux cases.";"For 13";"Manuel des Joueurs 1";"Aucun"
"Lanceur de rituels";"Héroïque";;;;;;"Formation Arcane ou Religion";;;"Vous pouvez accomplir des rituels de votre niveau ou d’un niveau inférieur.Le chapitre 10 renferme toutes les informations pour se procurer, maîtriser et accomplir des rituels. Bien que certains exigent la compétence Nature ou Soins, la compétence Arcane ou Religion est toujours nécessaire pour accomplir des rituels.";;"Manuel des Joueurs 1";"Aucun"
"Lanceur de sorts défensif";"Héroïque";;;;;;;;;"Vous bénéficiez d'un bonus de +4 à la CA contre les attaques d'opportunités que vous provoquez en utilisant un pouvoir à distance ou de zone.";;"Manuel des Joueurs 3";"Aucun"
"langue dorée de Waukyne";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliser langue dorée de Waukyne.";;"Royaume Oubliés";"Aucun"
"Lascar des tunnels";"Héroïque";;;;;;;"Voleur";"Nain";"Vous pouvez utilisez les pouvoirs de voleurs exigeant une lame légère lorsque vous utilisez une hache, un marteau ou un pic à une main. Vous réduisez les dégâts d'attaque sournoise d'un dé lorsque vous attaquez avec l'un de ces trois groupes d'armes.";"For 13, Con 13";"Art de la Guerre 1";"Aucun"
"Lésion brutale";"Héroïque";"Attaque sournoise, Brute des bas-fonds";;;;;;"Voleur";;"Lorsque votre attaque infliges des dégâts continues et que vous infligez des dégâts d'attaque sournoise à la cible, ajoutez 1 aux dégâts continue par dé de dégâts d'attaque sournoise infligés.";;"Art de la Guerre 1";"Aucun"
"Leurre de fer";"Héroïque";;;;"Pique spirituelle";;;"Batailleur";;"Vous pouvez faire glisser la cible de votre pique spirituelle de 1 case.";;"Manuel des Joueurs 3";"Aucun"
